Gene,Pathways,Complexes
UQCRH,,Complex I;Complex III;Complex II
CYC1,,Complex I;Complex III;Complex II
COX5A,,Complex I;Complex IV
COX8A,,Complex I;Complex IV
COX19,,Complex I;Complex IV
COA3,,Complex I;Complex IV
MT-CO3,,Complex I;Complex IV
COA6,,Complex I;Complex IV
COX7A2,,Complex I;Complex IV
COX7A2L,,Complex I;Complex IV
UQCRQ,,Complex I;Complex III;Complex II
PET100,,Complex I;Complex IV
UQCC2,,Complex I;Complex III;Complex II
COX6C,,Complex I;Complex IV
UQCC3,,Complex I;Complex III;Complex II
COX7B,,Complex I;Complex IV
COA4,,Complex I;Complex IV
UQCR11,,Complex I;Complex III;Complex II
COX7C,,Complex I;Complex IV
UQCRB,,Complex I;Complex III;Complex II
C9orf72,,
RAB39B,Autophagy,
CAMK2G,Necroptosis,
ITPR2,Apoptosis,
CAMK2B,Necroptosis,
PRKAA2,Autophagy,
RBCK1,Necroptosis,
TNFAIP3,Necroptosis,
JAK3,Necroptosis,
PARP4,Apoptosis,
TRAF5,Necroptosis,
CD14,,Complex I
CEP89,,Complex I;Complex IV
CHMP2A,Pyroptosis;Necroptosis,
CMC1,,Complex I;Complex IV
COX14,,Complex I;Complex IV
PET117,,Complex I;Complex IV
MT-ND4,,Complex I
SMIM20,,Complex I;Complex IV
PNKD,,Complex I;Complex IV
TMEM177,,Complex I;Complex IV
COX18,,Complex I;Complex IV
HIGD1A,,Complex I;Complex IV
COX20,,Complex I;Complex IV
VAMP8,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
LYRM2,,Complex I
MR1,,Complex I;Complex IV
TYMP,,Complex I;Complex IV
VMP1,Autophagy,
