Gene,Pathways,Complexes
UQCC3,,Complex III;Complex II;Complex I
COX7B,,Complex IV;Complex I
COA4,,Complex IV;Complex I
UQCR11,,Complex III;Complex II;Complex I
COX7C,,Complex IV;Complex I
UQCRB,,Complex III;Complex II;Complex I
CAMK2G,Necroptosis,
CAMK2B,Necroptosis,
CAMKK2,Autophagy,
PRKAA2,Autophagy,
TNFAIP3,Necroptosis,
PRKCQ,Autophagy,
DAPK1,Autophagy,
PARP4,Apoptosis,
STAT4,Necroptosis,
CD14,,Complex I
CEP89,,Complex IV;Complex I
RAB8A,Autophagy,
CMC1,,Complex IV;Complex I
COX14,,Complex IV;Complex I
PET117,,Complex IV;Complex I
MT-ND4,,Complex I
SMIM20,,Complex IV;Complex I
PNKD,,Complex IV;Complex I
TMEM177,,Complex IV;Complex I
COX18,,Complex IV;Complex I
HIGD1A,,Complex IV;Complex I
COX20,,Complex IV;Complex I
VAMP8,Autophagy,
DEPTOR,Autophagy,
RB1CC1,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
LYRM2,,Complex I
RRAS,Autophagy,
MRAS,Autophagy,
MR1,,Complex IV;Complex I
TYMP,,Complex IV;Complex I
VMP1,Autophagy,
